Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
, meat and meat products (other than poultry) , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0394737 ,    0        , 0         , 0         ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_mean-survival-prob                                                ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,  0.646119 ,                                                                          ,
, herbs and spices                            , scores_cph_tree_survival-prob                                                     ,           ,  0.265823  ,    0        , 0         , 0         ,  0.637931 ,                                                                          ,
, herbs and spices                            , scores_cph_tree_survival-prob                                                     ,           ,  0.265823  ,    0        , 0         , 0         ,  0.637931 ,                                                                          ,
, herbs and spices                            , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.683544  ,    0.666667 , 1         , 0.8       ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_mean-survival-prob                                                ,           ,  0.632911  ,    0.632911 , 1         , 0.775194  ,  0.5      ,                                                                          ,
, cereals                                     , scores_cph_tree_survival-prob                                                     ,           ,  0.265823  ,    0.294118 , 0.0980392 , 0.147059  ,  0.661765 ,                                                                          ,
, cereals                                     , scores_cph_tree_survival-prob                                                     ,           ,  0.265823  ,    0.294118 , 0.0980392 , 0.147059  ,  0.661765 ,                                                                          ,
, cereals                                     , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.35443   ,    0        , 0         , 0         ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_mean-survival-prob                                                ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,  0.597339 ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_survival-prob                                                     ,           ,  0.0958904 ,    1        , 0.0704225 , 0.131579  ,  0.464789 ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_survival-prob                                                     ,           ,  0.0958904 ,    1        , 0.0704225 , 0.131579  ,  0.464789 ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0273973 ,    0        , 0         , 0         ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,  0.464789 ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_survival-prob                                                     ,           ,  0.518987  ,    0.26     , 0.928571  , 0.40625   ,  0.306593 ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_survival-prob                                                     ,           ,  0.518987  ,    0.26     , 0.928571  , 0.40625   ,  0.306593 ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.56962   ,    0.1875   , 0.428571  , 0.26087   ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_mean-survival-prob                                                ,           ,  0.240506  ,    0.189189 , 1         , 0.318182  ,  0.415934 ,                                                                          ,
, bovine                                      , scores_cph_tree_survival-prob                                                     ,           ,  0.434211  ,    0.826087 , 0.327586  , 0.469136  ,  0.435824 ,                                                                          ,
, bovine                                      , scores_cph_tree_survival-prob                                                     ,           ,  0.434211  ,    0.826087 , 0.327586  , 0.469136  ,  0.435824 ,                                                                          ,
, bovine                                      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.315789  ,    0.875    , 0.12069   , 0.212121  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.684211  ,    0.765625 , 0.844828  , 0.803279  ,  0.472222 ,                                                                          ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.844156  ,    0.926471 , 0.9       , 0.913043  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.779221  ,    0.920635 , 0.828571  , 0.87218   ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.779221  ,    0.920635 , 0.828571  , 0.87218   ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
